year,format,team,seed,trank,adj_em,adj_t,win_count,win_pct,actual_champion
2019,10-team 6 single byes,Evansville,10,257.0,-7.5,69.5,34,0.34,0
2021,10-team double bye,Loyola Chicago,1,13.0,20.5,63.4,7682,76.82,1
2021,10-team double bye,Drake,2,79.0,10.1,66.2,1784,17.84,0
2021,10-team double bye,Missouri St.,3,105.0,6.7,68.8,338,3.38,0
2021,10-team double bye,Indiana St.,4,124.0,3.3,66.7,111,1.11,0
2021,10-team double bye,Evansville,5,207.0,-4.7,62.0,6,0.06,0
2021,10-team double bye,Valparaiso,6,198.0,-3.2,66.9,2,0.02,0
2021,10-team double bye,Northern Iowa,7,175.0,-0.7,69.0,28,0.28,0
2021,10-team double bye,Bradley,8,166.0,0.1,65.8,34,0.34,0
2021,10-team double bye,Southern Illinois,9,188.0,-2.4,66.0,13,0.13,0
2021,10-team double bye,Illinois St.,10,210.0,-5.1,69.0,2,0.02,0
2021,8-team no byes,Loyola Chicago,1,13.0,20.5,63.4,7720,77.2,1
2021,8-team no byes,Drake,2,79.0,10.1,66.2,1290,12.9,0
2021,8-team no byes,Missouri St.,3,105.0,6.7,68.8,630,6.3,0
2021,8-team no byes,Indiana St.,4,124.0,3.3,66.7,244,2.44,0
2021,8-team no byes,Evansville,5,207.0,-4.7,62.0,10,0.1,0
2021,8-team no byes,Valparaiso,6,198.0,-3.2,66.9,14,0.14,0
2021,8-team no byes,Northern Iowa,7,175.0,-0.7,69.0,44,0.44,0
2021,8-team no byes,Bradley,8,166.0,0.1,65.8,48,0.48,0
2021,8-team no byes,Southern Illinois,9,188.0,-2.4,66.0,0,0.0,0
2021,8-team no byes,Illinois St.,10,210.0,-5.1,69.0,0,0.0,0
2021,10-team 6 single byes,Loyola Chicago,1,13.0,20.5,63.4,7779,77.79,1
2021,10-team 6 single byes,Drake,2,79.0,10.1,66.2,1314,13.14,0
2021,10-team 6 single byes,Missouri St.,3,105.0,6.7,68.8,537,5.37,0
2021,10-team 6 single byes,Indiana St.,4,124.0,3.3,66.7,268,2.68,0
2021,10-team 6 single byes,Evansville,5,207.0,-4.7,62.0,15,0.15,0
2021,10-team 6 single byes,Valparaiso,6,198.0,-3.2,66.9,21,0.21,0
2021,10-team 6 single byes,Northern Iowa,7,175.0,-0.7,69.0,29,0.29,0
2021,10-team 6 single byes,Bradley,8,166.0,0.1,65.8,28,0.28,0
2021,10-team 6 single byes,Southern Illinois,9,188.0,-2.4,66.0,6,0.06,0
2021,10-team 6 single byes,Illinois St.,10,210.0,-5.1,69.0,3,0.03,0
2022,10-team double bye,Northern Iowa,1,94.0,8.1,67.3,1947,19.47,0
2022,10-team double bye,Missouri St.,2,80.0,10.3,67.1,2428,24.28,0
2022,10-team double bye,Drake,3,82.0,9.5,66.0,1668,16.68,0
2022,10-team double bye,Loyola Chicago,4,39.0,14.6,64.6,3370,33.7,1
2022,10-team double bye,Bradley,5,102.0,6.6,67.3,376,3.76,0
2022,10-team double bye,Southern Illinois,6,126.0,3.8,62.1,199,1.99,0
2022,10-team double bye,Valparaiso,7,207.0,-3.3,65.2,6,0.06,0
2022,10-team double bye,Illinois St.,8,201.0,-2.5,68.1,6,0.06,0
2022,10-team double bye,Indiana St.,9,204.0,-3.0,69.5,0,0.0,0
2022,10-team double bye,Evansville,10,324.0,-14.3,63.9,0,0.0,0
2022,8-team no byes,Northern Iowa,1,94.0,8.1,67.3,1388,13.88,0
2022,8-team no byes,Missouri St.,2,80.0,10.3,67.1,2319,23.19,0
2022,8-team no byes,Drake,3,82.0,9.5,66.0,1574,15.74,0
2022,8-team no byes,Loyola Chicago,4,39.0,14.6,64.6,3816,38.16,1
2022,8-team no byes,Bradley,5,102.0,6.6,67.3,558,5.58,0
2022,8-team no byes,Southern Illinois,6,126.0,3.8,62.1,278,2.78,0
2022,8-team no byes,Valparaiso,7,207.0,-3.3,65.2,36,0.36,0
2022,8-team no byes,Illinois St.,8,201.0,-2.5,68.1,31,0.31,0
2022,8-team no byes,Indiana St.,9,204.0,-3.0,69.5,0,0.0,0
